Country,Year,value
Benin,2000,21.83777046
Benin,2001,23.6702404
Benin,2002,25.66651917
Benin,2003,27.0311203
Benin,2004,28.8885994
Benin,2005,
Benin,2006,
Benin,2007,
Benin,2008,
Benin,2009,
Benin,2010,
Benin,2011,49.12759018
Benin,2012,
Benin,2013,55.96561813
Benin,2014,56.23654175
Benin,2015,58.8467598
Benin,2016,59.04251862
Benin,2017,
Benin,2018,
Benin,2019,
Benin,2020,47.50183105
Sub-Saharan Africa,2000,25.88466072
Sub-Saharan Africa,2001,27.20083046
Sub-Saharan Africa,2002,28.27795982
Sub-Saharan Africa,2003,29.47005081
Sub-Saharan Africa,2004,31.09219933
Sub-Saharan Africa,2005,32.07728958
Sub-Saharan Africa,2006,33.14110184
Sub-Saharan Africa,2007,34.09674835
Sub-Saharan Africa,2008,36.04473877
Sub-Saharan Africa,2009,37.79153061
Sub-Saharan Africa,2010,39.69147873
Sub-Saharan Africa,2011,40.7811203
Sub-Saharan Africa,2012,41.97623825
Sub-Saharan Africa,2013,44.59196091
Sub-Saharan Africa,2014,43.32500839
Sub-Saharan Africa,2015,43.80295181
Sub-Saharan Africa,2016,43.13125992
Sub-Saharan Africa,2017,43.31359863
Sub-Saharan Africa,2018,43.47008896
Sub-Saharan Africa,2019,43.61674881
Sub-Saharan Africa,2020,
